iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment,run_id
0,raw_rsa_keygen,RSA-2048,107.8162919729948,1933.2,12.0,294.0,2026-04-12T13:01:54.968858+00:00,arm64-darwin,1
1,raw_rsa_keygen,RSA-2048,109.16274995543064,1933.2,12.0,294.0,2026-04-12T13:01:54.969147+00:00,arm64-darwin,1
2,raw_rsa_keygen,RSA-2048,54.30737498681992,1933.2,12.0,294.0,2026-04-12T13:01:54.969154+00:00,arm64-darwin,1
3,raw_rsa_keygen,RSA-2048,106.88312503043562,1933.2,12.0,294.0,2026-04-12T13:01:54.969157+00:00,arm64-darwin,1
4,raw_rsa_keygen,RSA-2048,129.03874996118248,1933.2,12.0,294.0,2026-04-12T13:01:54.969160+00:00,arm64-darwin,1
5,raw_rsa_keygen,RSA-2048,102.92912495788188,1933.2,12.0,294.0,2026-04-12T13:01:54.969162+00:00,arm64-darwin,1
6,raw_rsa_keygen,RSA-2048,86.5636250237003,1933.2,12.0,294.0,2026-04-12T13:01:54.969165+00:00,arm64-darwin,1
7,raw_rsa_keygen,RSA-2048,121.0292080650106,1933.2,12.0,294.0,2026-04-12T13:01:54.969167+00:00,arm64-darwin,1
8,raw_rsa_keygen,RSA-2048,17.098041949793696,1933.2,12.0,294.0,2026-04-12T13:01:54.969172+00:00,arm64-darwin,1
9,raw_rsa_keygen,RSA-2048,68.54404194746166,1933.2,12.0,294.0,2026-04-12T13:01:54.969174+00:00,arm64-darwin,1
10,raw_rsa_keygen,RSA-2048,49.86408294644207,1933.2,12.0,294.0,2026-04-12T13:01:54.969177+00:00,arm64-darwin,1
11,raw_rsa_keygen,RSA-2048,41.72354203183204,1933.2,12.0,294.0,2026-04-12T13:01:54.969179+00:00,arm64-darwin,1
12,raw_rsa_keygen,RSA-2048,118.8914580270648,1933.2,12.0,294.0,2026-04-12T13:01:54.969181+00:00,arm64-darwin,1
13,raw_rsa_keygen,RSA-2048,142.9015409667045,1933.2,12.0,294.0,2026-04-12T13:01:54.969183+00:00,arm64-darwin,1
14,raw_rsa_keygen,RSA-2048,64.81979100499302,1933.2,12.0,294.0,2026-04-12T13:01:54.969185+00:00,arm64-darwin,1
15,raw_rsa_keygen,RSA-2048,97.80650003813209,1933.2,12.0,294.0,2026-04-12T13:01:54.969187+00:00,arm64-darwin,1
16,raw_rsa_keygen,RSA-2048,29.922874993644655,1933.2,12.0,294.0,2026-04-12T13:01:54.969190+00:00,arm64-darwin,1
17,raw_rsa_keygen,RSA-2048,38.305207970552146,1933.2,12.0,294.0,2026-04-12T13:01:54.969192+00:00,arm64-darwin,1
18,raw_rsa_keygen,RSA-2048,42.52124996855855,1933.2,12.0,294.0,2026-04-12T13:01:54.969194+00:00,arm64-darwin,1
19,raw_rsa_keygen,RSA-2048,127.15966603718698,1933.2,12.0,294.0,2026-04-12T13:01:54.969196+00:00,arm64-darwin,1
20,raw_rsa_keygen,RSA-2048,236.93733394611627,1933.2,12.0,294.0,2026-04-12T13:01:54.969198+00:00,arm64-darwin,1
21,raw_rsa_keygen,RSA-2048,114.82116708066314,1933.2,12.0,294.0,2026-04-12T13:01:54.969200+00:00,arm64-darwin,1
22,raw_rsa_keygen,RSA-2048,101.30874998867512,1933.2,12.0,294.0,2026-04-12T13:01:54.969202+00:00,arm64-darwin,1
23,raw_rsa_keygen,RSA-2048,67.13166693225503,1933.2,12.0,294.0,2026-04-12T13:01:54.969204+00:00,arm64-darwin,1
24,raw_rsa_keygen,RSA-2048,28.46225001849234,1933.2,12.0,294.0,2026-04-12T13:01:54.969206+00:00,arm64-darwin,1
25,raw_rsa_keygen,RSA-2048,79.89591697696596,1933.2,12.0,294.0,2026-04-12T13:01:54.969208+00:00,arm64-darwin,1
26,raw_rsa_keygen,RSA-2048,217.91054191999137,1933.2,12.0,294.0,2026-04-12T13:01:54.969210+00:00,arm64-darwin,1
27,raw_rsa_keygen,RSA-2048,98.15833298489451,1933.2,12.0,294.0,2026-04-12T13:01:54.969212+00:00,arm64-darwin,1
28,raw_rsa_keygen,RSA-2048,184.23491704743356,1933.2,12.0,294.0,2026-04-12T13:01:54.969214+00:00,arm64-darwin,1
29,raw_rsa_keygen,RSA-2048,96.08170902356504,1933.2,12.0,294.0,2026-04-12T13:01:54.969216+00:00,arm64-darwin,1
30,raw_rsa_keygen,RSA-2048,43.03137504030019,1933.2,12.0,294.0,2026-04-12T13:01:54.969218+00:00,arm64-darwin,1
31,raw_rsa_keygen,RSA-2048,135.35579200834036,1933.2,12.0,294.0,2026-04-12T13:01:54.969220+00:00,arm64-darwin,1
32,raw_rsa_keygen,RSA-2048,66.80366699583828,1933.2,12.0,294.0,2026-04-12T13:01:54.969222+00:00,arm64-darwin,1
33,raw_rsa_keygen,RSA-2048,170.01870810054243,1933.2,12.0,294.0,2026-04-12T13:01:54.969224+00:00,arm64-darwin,1
34,raw_rsa_keygen,RSA-2048,63.909374992363155,1933.2,12.0,294.0,2026-04-12T13:01:54.969226+00:00,arm64-darwin,1
35,raw_rsa_keygen,RSA-2048,191.0476670600474,1933.2,12.0,294.0,2026-04-12T13:01:54.969228+00:00,arm64-darwin,1
36,raw_rsa_keygen,RSA-2048,53.44816599972546,1933.2,12.0,294.0,2026-04-12T13:01:54.969230+00:00,arm64-darwin,1
37,raw_rsa_keygen,RSA-2048,69.10008296836168,1933.2,12.0,294.0,2026-04-12T13:01:54.969232+00:00,arm64-darwin,1
38,raw_rsa_keygen,RSA-2048,128.9969589561224,1933.2,12.0,294.0,2026-04-12T13:01:54.969234+00:00,arm64-darwin,1
39,raw_rsa_keygen,RSA-2048,135.44779096264392,1933.2,12.0,294.0,2026-04-12T13:01:54.969236+00:00,arm64-darwin,1
40,raw_rsa_keygen,RSA-2048,59.63000003248453,1933.2,12.0,294.0,2026-04-12T13:01:54.969238+00:00,arm64-darwin,1
41,raw_rsa_keygen,RSA-2048,104.10712496377528,1933.2,12.0,294.0,2026-04-12T13:01:54.969240+00:00,arm64-darwin,1
42,raw_rsa_keygen,RSA-2048,152.83291693776846,1933.2,12.0,294.0,2026-04-12T13:01:54.969242+00:00,arm64-darwin,1
43,raw_rsa_keygen,RSA-2048,78.70758301578462,1933.2,12.0,294.0,2026-04-12T13:01:54.969244+00:00,arm64-darwin,1
44,raw_rsa_keygen,RSA-2048,152.2554170805961,1933.2,12.0,294.0,2026-04-12T13:01:54.969246+00:00,arm64-darwin,1
45,raw_rsa_keygen,RSA-2048,36.20662505272776,1933.2,12.0,294.0,2026-04-12T13:01:54.969251+00:00,arm64-darwin,1
46,raw_rsa_keygen,RSA-2048,70.81187493167818,1933.2,12.0,294.0,2026-04-12T13:01:54.969254+00:00,arm64-darwin,1
47,raw_rsa_keygen,RSA-2048,36.75395809113979,1933.2,12.0,294.0,2026-04-12T13:01:54.969256+00:00,arm64-darwin,1
