operation,algorithm,environment,n_runs,grand_mean_ms,grand_median_ms,inter_run_stdev_ms,inter_run_min_ms,inter_run_max_ms,inter_run_cv_pct
hybrid_sign_classical,RS256,arm64-darwin,3,1.686,1.5266,0.1051,1.5926,1.7999,6.2357
hybrid_sign_pqc,ML-DSA-44,arm64-darwin,3,0.2042,0.1839,0.0172,0.1893,0.223,8.4106
hybrid_verify_classical,RS256,arm64-darwin,3,0.0555,0.0549,0.0005,0.0552,0.0561,0.9232
hybrid_verify_pqc,ML-DSA-44,arm64-darwin,3,0.0455,0.0451,0.0003,0.0451,0.0457,0.6706
jwt_sign,RS256,arm64-darwin,3,1.6293,1.5332,0.072,1.5831,1.7123,4.4192
jwt_verify,RS256,arm64-darwin,3,0.0584,0.054,0.0053,0.0542,0.0643,9.0076
kem_decapsulate,Kyber512,arm64-darwin,3,0.0166,0.0164,0.0001,0.0164,0.0167,0.8999
kem_encapsulate,Kyber512,arm64-darwin,3,0.0188,0.0185,0.0002,0.0186,0.019,0.9789
kem_keygen,Kyber512,arm64-darwin,3,0.0168,0.0166,0.0001,0.0167,0.0168,0.3318
pqc_sign,ML-DSA-44,arm64-darwin,3,0.2031,0.1823,0.0252,0.1828,0.2313,12.4097
pqc_verify,ML-DSA-44,arm64-darwin,3,0.0442,0.0437,0.0006,0.0437,0.0448,1.337
raw_kyber_decapsulate,Kyber512,arm64-darwin,3,0.016,0.0159,0.0001,0.0159,0.0161,0.7931
raw_kyber_encapsulate,Kyber512,arm64-darwin,3,0.0183,0.0182,0.0003,0.018,0.0185,1.5451
raw_kyber_keygen,Kyber512,arm64-darwin,3,0.0184,0.0169,0.0004,0.0182,0.0189,2.2293
raw_mldsa_keygen,ML-DSA-44,arm64-darwin,3,0.0491,0.0472,0.0027,0.0475,0.0522,5.4838
raw_mldsa_sign,ML-DSA-44,arm64-darwin,3,0.1061,0.0895,0.0049,0.1004,0.1094,4.633
raw_mldsa_verify,ML-DSA-44,arm64-darwin,3,0.0441,0.0425,0.0007,0.0434,0.0448,1.6009
raw_rsa_keygen,RSA-2048,arm64-darwin,3,108.3329,97.2014,3.9549,104.1499,112.0111,3.6506
raw_rsa_sign,RSA-2048,arm64-darwin,3,89.3226,88.5667,0.8598,88.629,90.2845,0.9625
raw_rsa_verify,RSA-2048,arm64-darwin,3,0.1131,0.1107,0.0024,0.1106,0.1155,2.1515
