iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment
0,raw_rsa_keygen,RSA-2048,57.950166054069996,1933.4,12.0,294,2026-03-27T13:28:38.854657+00:00,arm64-darwin
1,raw_rsa_keygen,RSA-2048,34.302165964618325,1933.4,12.0,294,2026-03-27T13:28:38.855340+00:00,arm64-darwin
2,raw_rsa_keygen,RSA-2048,89.35387496603653,1933.4,12.0,294,2026-03-27T13:28:38.855344+00:00,arm64-darwin
3,raw_rsa_keygen,RSA-2048,46.23508296208456,1933.4,12.0,294,2026-03-27T13:28:38.855346+00:00,arm64-darwin
4,raw_rsa_keygen,RSA-2048,59.92645799415186,1933.4,12.0,294,2026-03-27T13:28:38.855348+00:00,arm64-darwin
5,raw_rsa_keygen,RSA-2048,68.9285839907825,1933.4,12.0,294,2026-03-27T13:28:38.855349+00:00,arm64-darwin
6,raw_rsa_keygen,RSA-2048,34.959416021592915,1933.4,12.0,294,2026-03-27T13:28:38.855352+00:00,arm64-darwin
7,raw_rsa_keygen,RSA-2048,70.48087497241795,1933.4,12.0,294,2026-03-27T13:28:38.855354+00:00,arm64-darwin
8,raw_rsa_keygen,RSA-2048,59.720249962992966,1933.4,12.0,294,2026-03-27T13:28:38.855355+00:00,arm64-darwin
9,raw_rsa_keygen,RSA-2048,76.87516702571884,1933.4,12.0,294,2026-03-27T13:28:38.855357+00:00,arm64-darwin
10,raw_rsa_keygen,RSA-2048,45.105582976248115,1933.4,12.0,294,2026-03-27T13:28:38.855358+00:00,arm64-darwin
11,raw_rsa_keygen,RSA-2048,66.52170798042789,1933.4,12.0,294,2026-03-27T13:28:38.855359+00:00,arm64-darwin
12,raw_rsa_keygen,RSA-2048,52.25433298619464,1933.4,12.0,294,2026-03-27T13:28:38.855360+00:00,arm64-darwin
13,raw_rsa_keygen,RSA-2048,107.22204198827967,1933.4,12.0,294,2026-03-27T13:28:38.855361+00:00,arm64-darwin
14,raw_rsa_keygen,RSA-2048,70.94300002790987,1933.4,12.0,294,2026-03-27T13:28:38.855362+00:00,arm64-darwin
15,raw_rsa_keygen,RSA-2048,9.261999977752566,1933.4,12.0,294,2026-03-27T13:28:38.855365+00:00,arm64-darwin
16,raw_rsa_keygen,RSA-2048,105.45141698094085,1933.4,12.0,294,2026-03-27T13:28:38.855366+00:00,arm64-darwin
17,raw_rsa_keygen,RSA-2048,32.95383299700916,1933.4,12.0,294,2026-03-27T13:28:38.855367+00:00,arm64-darwin
18,raw_rsa_keygen,RSA-2048,21.597250015474856,1933.4,12.0,294,2026-03-27T13:28:38.855368+00:00,arm64-darwin
19,raw_rsa_keygen,RSA-2048,30.642000027000904,1933.4,12.0,294,2026-03-27T13:28:38.855409+00:00,arm64-darwin
20,raw_rsa_keygen,RSA-2048,37.28450002381578,1933.4,12.0,294,2026-03-27T13:28:38.855415+00:00,arm64-darwin
21,raw_rsa_keygen,RSA-2048,59.191707987338305,1933.4,12.0,294,2026-03-27T13:28:38.855416+00:00,arm64-darwin
22,raw_rsa_keygen,RSA-2048,19.969374989159405,1933.4,12.0,294,2026-03-27T13:28:38.855417+00:00,arm64-darwin
23,raw_rsa_keygen,RSA-2048,33.66279200417921,1933.4,12.0,294,2026-03-27T13:28:38.855419+00:00,arm64-darwin
24,raw_rsa_keygen,RSA-2048,12.228375009726733,1933.4,12.0,294,2026-03-27T13:28:38.855420+00:00,arm64-darwin
25,raw_rsa_keygen,RSA-2048,31.058125023264438,1933.4,12.0,294,2026-03-27T13:28:38.855421+00:00,arm64-darwin
26,raw_rsa_keygen,RSA-2048,90.70504095871001,1933.4,12.0,294,2026-03-27T13:28:38.855422+00:00,arm64-darwin
27,raw_rsa_keygen,RSA-2048,65.7710829982534,1933.4,12.0,294,2026-03-27T13:28:38.855423+00:00,arm64-darwin
28,raw_rsa_keygen,RSA-2048,39.925624965690076,1933.4,12.0,294,2026-03-27T13:28:38.855424+00:00,arm64-darwin
29,raw_rsa_keygen,RSA-2048,73.85120796971023,1933.4,12.0,294,2026-03-27T13:28:38.855425+00:00,arm64-darwin
30,raw_rsa_keygen,RSA-2048,116.2601659889333,1933.4,12.0,294,2026-03-27T13:28:38.855426+00:00,arm64-darwin
31,raw_rsa_keygen,RSA-2048,61.2804580014199,1933.4,12.0,294,2026-03-27T13:28:38.855426+00:00,arm64-darwin
32,raw_rsa_keygen,RSA-2048,94.64625001419336,1933.4,12.0,294,2026-03-27T13:28:38.855427+00:00,arm64-darwin
33,raw_rsa_keygen,RSA-2048,52.54108301596716,1933.4,12.0,294,2026-03-27T13:28:38.855428+00:00,arm64-darwin
34,raw_rsa_keygen,RSA-2048,50.26799999177456,1933.4,12.0,294,2026-03-27T13:28:38.855429+00:00,arm64-darwin
35,raw_rsa_keygen,RSA-2048,58.651375002227724,1933.4,12.0,294,2026-03-27T13:28:38.855430+00:00,arm64-darwin
36,raw_rsa_keygen,RSA-2048,54.71029202453792,1933.4,12.0,294,2026-03-27T13:28:38.855431+00:00,arm64-darwin
37,raw_rsa_keygen,RSA-2048,49.29300001822412,1933.4,12.0,294,2026-03-27T13:28:38.855432+00:00,arm64-darwin
38,raw_rsa_keygen,RSA-2048,52.007250022143126,1933.4,12.0,294,2026-03-27T13:28:38.855433+00:00,arm64-darwin
39,raw_rsa_keygen,RSA-2048,154.35745799914002,1933.4,12.0,294,2026-03-27T13:28:38.855434+00:00,arm64-darwin
40,raw_rsa_keygen,RSA-2048,138.7365420232527,1933.4,12.0,294,2026-03-27T13:28:38.855435+00:00,arm64-darwin
41,raw_rsa_keygen,RSA-2048,30.257250007707626,1933.4,12.0,294,2026-03-27T13:28:38.855436+00:00,arm64-darwin
42,raw_rsa_keygen,RSA-2048,87.01999997720122,1933.4,12.0,294,2026-03-27T13:28:38.855437+00:00,arm64-darwin
43,raw_rsa_keygen,RSA-2048,12.73616700200364,1933.4,12.0,294,2026-03-27T13:28:38.855438+00:00,arm64-darwin
44,raw_rsa_keygen,RSA-2048,44.50683301547542,1933.4,12.0,294,2026-03-27T13:28:38.855439+00:00,arm64-darwin
45,raw_rsa_keygen,RSA-2048,65.65508298808709,1933.4,12.0,294,2026-03-27T13:28:38.855440+00:00,arm64-darwin
46,raw_rsa_keygen,RSA-2048,182.74395796470344,1933.4,12.0,294,2026-03-27T13:28:38.855441+00:00,arm64-darwin
47,raw_rsa_keygen,RSA-2048,68.93183302599937,1933.4,12.0,294,2026-03-27T13:28:38.855443+00:00,arm64-darwin
48,raw_rsa_keygen,RSA-2048,16.291334002744406,1933.4,12.0,294,2026-03-27T13:28:38.855444+00:00,arm64-darwin
49,raw_rsa_keygen,RSA-2048,116.74775002757087,1933.4,12.0,294,2026-03-27T13:28:38.855445+00:00,arm64-darwin
50,raw_rsa_keygen,RSA-2048,92.66833303263411,1933.4,12.0,294,2026-03-27T13:28:38.855446+00:00,arm64-darwin
51,raw_rsa_keygen,RSA-2048,92.8502919850871,1933.4,12.0,294,2026-03-27T13:28:38.855447+00:00,arm64-darwin
52,raw_rsa_keygen,RSA-2048,34.664415987208486,1933.4,12.0,294,2026-03-27T13:28:38.855448+00:00,arm64-darwin
53,raw_rsa_keygen,RSA-2048,129.69787494512275,1933.4,12.0,294,2026-03-27T13:28:38.855449+00:00,arm64-darwin
54,raw_rsa_keygen,RSA-2048,57.42295802338049,1933.4,12.0,294,2026-03-27T13:28:38.855450+00:00,arm64-darwin
55,raw_rsa_keygen,RSA-2048,48.36325003998354,1933.4,12.0,294,2026-03-27T13:28:38.855451+00:00,arm64-darwin
56,raw_rsa_keygen,RSA-2048,15.696083020884544,1933.4,12.0,294,2026-03-27T13:28:38.855452+00:00,arm64-darwin
57,raw_rsa_keygen,RSA-2048,17.07770797656849,1933.4,12.0,294,2026-03-27T13:28:38.855453+00:00,arm64-darwin
58,raw_rsa_keygen,RSA-2048,106.8752080318518,1933.4,12.0,294,2026-03-27T13:28:38.855454+00:00,arm64-darwin
59,raw_rsa_keygen,RSA-2048,58.832457987591624,1933.4,12.0,294,2026-03-27T13:28:38.855455+00:00,arm64-darwin
60,raw_rsa_keygen,RSA-2048,42.153500020504,1933.4,12.0,294,2026-03-27T13:28:38.855456+00:00,arm64-darwin
61,raw_rsa_keygen,RSA-2048,71.9167499919422,1933.4,12.0,294,2026-03-27T13:28:38.855457+00:00,arm64-darwin
62,raw_rsa_keygen,RSA-2048,75.70141699397936,1933.4,12.0,294,2026-03-27T13:28:38.855458+00:00,arm64-darwin
63,raw_rsa_keygen,RSA-2048,44.81295798905194,1933.4,12.0,294,2026-03-27T13:28:38.855458+00:00,arm64-darwin
64,raw_rsa_keygen,RSA-2048,51.073000009637326,1933.4,12.0,294,2026-03-27T13:28:38.855459+00:00,arm64-darwin
65,raw_rsa_keygen,RSA-2048,16.381540975999087,1933.4,12.0,294,2026-03-27T13:28:38.855460+00:00,arm64-darwin
66,raw_rsa_keygen,RSA-2048,12.158958008512855,1933.4,12.0,294,2026-03-27T13:28:38.855461+00:00,arm64-darwin
67,raw_rsa_keygen,RSA-2048,54.19083300512284,1933.4,12.0,294,2026-03-27T13:28:38.855462+00:00,arm64-darwin
68,raw_rsa_keygen,RSA-2048,44.38420897349715,1933.4,12.0,294,2026-03-27T13:28:38.855463+00:00,arm64-darwin
69,raw_rsa_keygen,RSA-2048,10.810333013068885,1933.4,12.0,294,2026-03-27T13:28:38.855464+00:00,arm64-darwin
70,raw_rsa_keygen,RSA-2048,61.89908302621916,1933.4,12.0,294,2026-03-27T13:28:38.855465+00:00,arm64-darwin
71,raw_rsa_keygen,RSA-2048,41.449874988757074,1933.4,12.0,294,2026-03-27T13:28:38.855466+00:00,arm64-darwin
72,raw_rsa_keygen,RSA-2048,21.800249989610165,1933.4,12.0,294,2026-03-27T13:28:38.855467+00:00,arm64-darwin
73,raw_rsa_keygen,RSA-2048,66.50224997429177,1933.4,12.0,294,2026-03-27T13:28:38.855468+00:00,arm64-darwin
74,raw_rsa_keygen,RSA-2048,17.761041992343962,1933.4,12.0,294,2026-03-27T13:28:38.855469+00:00,arm64-darwin
75,raw_rsa_keygen,RSA-2048,28.19166600238532,1933.4,12.0,294,2026-03-27T13:28:38.855470+00:00,arm64-darwin
76,raw_rsa_keygen,RSA-2048,69.09987499238923,1933.4,12.0,294,2026-03-27T13:28:38.855471+00:00,arm64-darwin
77,raw_rsa_keygen,RSA-2048,51.857875019777566,1933.4,12.0,294,2026-03-27T13:28:38.855473+00:00,arm64-darwin
78,raw_rsa_keygen,RSA-2048,53.72279102448374,1933.4,12.0,294,2026-03-27T13:28:38.855474+00:00,arm64-darwin
79,raw_rsa_keygen,RSA-2048,49.34891697485,1933.4,12.0,294,2026-03-27T13:28:38.855475+00:00,arm64-darwin
80,raw_rsa_keygen,RSA-2048,37.221333011984825,1933.4,12.0,294,2026-03-27T13:28:38.855476+00:00,arm64-darwin
81,raw_rsa_keygen,RSA-2048,55.294667021371424,1933.4,12.0,294,2026-03-27T13:28:38.855478+00:00,arm64-darwin
82,raw_rsa_keygen,RSA-2048,42.281582951545715,1933.4,12.0,294,2026-03-27T13:28:38.855479+00:00,arm64-darwin
83,raw_rsa_keygen,RSA-2048,56.0323329991661,1933.4,12.0,294,2026-03-27T13:28:38.855479+00:00,arm64-darwin
84,raw_rsa_keygen,RSA-2048,30.851958028506488,1933.4,12.0,294,2026-03-27T13:28:38.855480+00:00,arm64-darwin
85,raw_rsa_keygen,RSA-2048,18.505166983231902,1933.4,12.0,294,2026-03-27T13:28:38.855482+00:00,arm64-darwin
86,raw_rsa_keygen,RSA-2048,22.72883296245709,1933.4,12.0,294,2026-03-27T13:28:38.855483+00:00,arm64-darwin
87,raw_rsa_keygen,RSA-2048,41.0911250510253,1933.4,12.0,294,2026-03-27T13:28:38.855484+00:00,arm64-darwin
88,raw_rsa_keygen,RSA-2048,99.61483301594853,1933.4,12.0,294,2026-03-27T13:28:38.855484+00:00,arm64-darwin
89,raw_rsa_keygen,RSA-2048,18.987667048349977,1933.4,12.0,294,2026-03-27T13:28:38.855485+00:00,arm64-darwin
90,raw_rsa_keygen,RSA-2048,93.99758296785876,1933.4,12.0,294,2026-03-27T13:28:38.855486+00:00,arm64-darwin
91,raw_rsa_keygen,RSA-2048,96.27258300315589,1933.4,12.0,294,2026-03-27T13:28:38.855488+00:00,arm64-darwin
92,raw_rsa_keygen,RSA-2048,107.73279098793864,1933.4,12.0,294,2026-03-27T13:28:38.855488+00:00,arm64-darwin
93,raw_rsa_keygen,RSA-2048,21.197124966420233,1933.4,12.0,294,2026-03-27T13:28:38.855490+00:00,arm64-darwin
94,raw_rsa_keygen,RSA-2048,52.96679202001542,1933.4,12.0,294,2026-03-27T13:28:38.855491+00:00,arm64-darwin
95,raw_rsa_keygen,RSA-2048,58.67291701724753,1933.4,12.0,294,2026-03-27T13:28:38.855492+00:00,arm64-darwin
96,raw_rsa_keygen,RSA-2048,86.60229202359915,1933.4,12.0,294,2026-03-27T13:28:38.855493+00:00,arm64-darwin
97,raw_rsa_keygen,RSA-2048,53.360374993644655,1933.4,12.0,294,2026-03-27T13:28:38.855494+00:00,arm64-darwin
98,raw_rsa_keygen,RSA-2048,40.7925839535892,1933.4,12.0,294,2026-03-27T13:28:38.855495+00:00,arm64-darwin
99,raw_rsa_keygen,RSA-2048,43.87954203411937,1933.4,12.0,294,2026-03-27T13:28:38.855496+00:00,arm64-darwin
0,raw_rsa_sign,RSA-2048,45.53549998672679,742.0,52.0,256,2026-03-27T13:28:44.849249+00:00,arm64-darwin
1,raw_rsa_sign,RSA-2048,56.70337501214817,742.0,52.0,256,2026-03-27T13:28:44.849289+00:00,arm64-darwin
2,raw_rsa_sign,RSA-2048,90.17937502358109,742.0,52.0,256,2026-03-27T13:28:44.849294+00:00,arm64-darwin
3,raw_rsa_sign,RSA-2048,55.19162502605468,742.0,52.0,256,2026-03-27T13:28:44.849295+00:00,arm64-darwin
4,raw_rsa_sign,RSA-2048,58.942792005836964,742.0,52.0,256,2026-03-27T13:28:44.849296+00:00,arm64-darwin
