iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment,run_id
0,raw_rsa_keygen,RSA-2048,98.19433302618563,1933.1,12.0,294,2026-04-12T13:09:33.142434+00:00,arm64-darwin,3
1,raw_rsa_keygen,RSA-2048,181.05537502560765,1933.1,12.0,294,2026-04-12T13:09:33.142747+00:00,arm64-darwin,3
2,raw_rsa_keygen,RSA-2048,83.38183409068733,1933.1,12.0,294,2026-04-12T13:09:33.142754+00:00,arm64-darwin,3
3,raw_rsa_keygen,RSA-2048,174.63941709138453,1933.1,12.0,294,2026-04-12T13:09:33.142759+00:00,arm64-darwin,3
4,raw_rsa_keygen,RSA-2048,183.72125003952533,1933.1,12.0,294,2026-04-12T13:09:33.142762+00:00,arm64-darwin,3
5,raw_rsa_keygen,RSA-2048,74.08654200844467,1933.1,12.0,294,2026-04-12T13:09:33.142765+00:00,arm64-darwin,3
6,raw_rsa_keygen,RSA-2048,148.2839999953285,1933.1,12.0,294,2026-04-12T13:09:33.142769+00:00,arm64-darwin,3
7,raw_rsa_keygen,RSA-2048,226.28462489228696,1933.1,12.0,294,2026-04-12T13:09:33.142772+00:00,arm64-darwin,3
8,raw_rsa_keygen,RSA-2048,50.286500016227365,1933.1,12.0,294,2026-04-12T13:09:33.142774+00:00,arm64-darwin,3
9,raw_rsa_keygen,RSA-2048,51.764791016466916,1933.1,12.0,294,2026-04-12T13:09:33.142778+00:00,arm64-darwin,3
10,raw_rsa_keygen,RSA-2048,42.98224998638034,1933.1,12.0,294,2026-04-12T13:09:33.142780+00:00,arm64-darwin,3
11,raw_rsa_keygen,RSA-2048,102.45366592425853,1933.1,12.0,294,2026-04-12T13:09:33.142783+00:00,arm64-darwin,3
12,raw_rsa_keygen,RSA-2048,51.0845830431208,1933.1,12.0,294,2026-04-12T13:09:33.142786+00:00,arm64-darwin,3
13,raw_rsa_keygen,RSA-2048,118.88125003315508,1933.1,12.0,294,2026-04-12T13:09:33.142789+00:00,arm64-darwin,3
14,raw_rsa_keygen,RSA-2048,59.83074998948723,1933.1,12.0,294,2026-04-12T13:09:33.142791+00:00,arm64-darwin,3
15,raw_rsa_keygen,RSA-2048,208.54904199950397,1933.1,12.0,294,2026-04-12T13:09:33.142793+00:00,arm64-darwin,3
16,raw_rsa_keygen,RSA-2048,132.43212492670864,1933.1,12.0,294,2026-04-12T13:09:33.142796+00:00,arm64-darwin,3
17,raw_rsa_keygen,RSA-2048,156.42354206647724,1933.1,12.0,294,2026-04-12T13:09:33.142799+00:00,arm64-darwin,3
18,raw_rsa_keygen,RSA-2048,110.72908400092274,1933.1,12.0,294,2026-04-12T13:09:33.142802+00:00,arm64-darwin,3
19,raw_rsa_keygen,RSA-2048,85.74604091700166,1933.1,12.0,294,2026-04-12T13:09:33.142804+00:00,arm64-darwin,3
20,raw_rsa_keygen,RSA-2048,149.62483302224427,1933.1,12.0,294,2026-04-12T13:09:33.142807+00:00,arm64-darwin,3
21,raw_rsa_keygen,RSA-2048,170.10208289138973,1933.1,12.0,294,2026-04-12T13:09:33.142810+00:00,arm64-darwin,3
22,raw_rsa_keygen,RSA-2048,122.96912504825741,1933.1,12.0,294,2026-04-12T13:09:33.142815+00:00,arm64-darwin,3
23,raw_rsa_keygen,RSA-2048,124.12029097322375,1933.1,12.0,294,2026-04-12T13:09:33.142817+00:00,arm64-darwin,3
24,raw_rsa_keygen,RSA-2048,123.19466704502702,1933.1,12.0,294,2026-04-12T13:09:33.142820+00:00,arm64-darwin,3
25,raw_rsa_keygen,RSA-2048,126.02462503127754,1933.1,12.0,294,2026-04-12T13:09:33.142822+00:00,arm64-darwin,3
26,raw_rsa_keygen,RSA-2048,70.20058308262378,1933.1,12.0,294,2026-04-12T13:09:33.142824+00:00,arm64-darwin,3
27,raw_rsa_keygen,RSA-2048,82.26441603619605,1933.1,12.0,294,2026-04-12T13:09:33.142826+00:00,arm64-darwin,3
28,raw_rsa_keygen,RSA-2048,138.59383296221495,1933.1,12.0,294,2026-04-12T13:09:33.142828+00:00,arm64-darwin,3
29,raw_rsa_keygen,RSA-2048,28.891708003357053,1933.1,12.0,294,2026-04-12T13:09:33.142831+00:00,arm64-darwin,3
30,raw_rsa_keygen,RSA-2048,311.30120798479766,1933.1,12.0,294,2026-04-12T13:09:33.142833+00:00,arm64-darwin,3
31,raw_rsa_keygen,RSA-2048,69.603499956429,1933.1,12.0,294,2026-04-12T13:09:33.142835+00:00,arm64-darwin,3
32,raw_rsa_keygen,RSA-2048,74.07133397646248,1933.1,12.0,294,2026-04-12T13:09:33.142837+00:00,arm64-darwin,3
33,raw_rsa_keygen,RSA-2048,73.20237497333437,1933.1,12.0,294,2026-04-12T13:09:33.142839+00:00,arm64-darwin,3
34,raw_rsa_keygen,RSA-2048,137.63883302453905,1933.1,12.0,294,2026-04-12T13:09:33.142841+00:00,arm64-darwin,3
35,raw_rsa_keygen,RSA-2048,48.76979102846235,1933.1,12.0,294,2026-04-12T13:09:33.142843+00:00,arm64-darwin,3
36,raw_rsa_keygen,RSA-2048,39.08470901660621,1933.1,12.0,294,2026-04-12T13:09:33.142845+00:00,arm64-darwin,3
37,raw_rsa_keygen,RSA-2048,256.1112919356674,1933.1,12.0,294,2026-04-12T13:09:33.142847+00:00,arm64-darwin,3
38,raw_rsa_keygen,RSA-2048,76.29225007258356,1933.1,12.0,294,2026-04-12T13:09:33.142849+00:00,arm64-darwin,3
39,raw_rsa_keygen,RSA-2048,70.4993330873549,1933.1,12.0,294,2026-04-12T13:09:33.142851+00:00,arm64-darwin,3
40,raw_rsa_keygen,RSA-2048,52.083541988395154,1933.1,12.0,294,2026-04-12T13:09:33.142853+00:00,arm64-darwin,3
41,raw_rsa_keygen,RSA-2048,103.33049995824695,1933.1,12.0,294,2026-04-12T13:09:33.142856+00:00,arm64-darwin,3
42,raw_rsa_keygen,RSA-2048,165.7052499940619,1933.1,12.0,294,2026-04-12T13:09:33.142858+00:00,arm64-darwin,3
43,raw_rsa_keygen,RSA-2048,143.87370902113616,1933.1,12.0,294,2026-04-12T13:09:33.142860+00:00,arm64-darwin,3
44,raw_rsa_keygen,RSA-2048,67.75245803873986,1933.1,12.0,294,2026-04-12T13:09:33.142862+00:00,arm64-darwin,3
45,raw_rsa_keygen,RSA-2048,176.8492090050131,1933.1,12.0,294,2026-04-12T13:09:33.142864+00:00,arm64-darwin,3
46,raw_rsa_keygen,RSA-2048,69.87183401361108,1933.1,12.0,294,2026-04-12T13:09:33.142866+00:00,arm64-darwin,3
47,raw_rsa_keygen,RSA-2048,80.30258305370808,1933.1,12.0,294,2026-04-12T13:09:33.142872+00:00,arm64-darwin,3
48,raw_rsa_keygen,RSA-2048,149.4011249160394,1933.1,12.0,294,2026-04-12T13:09:33.142874+00:00,arm64-darwin,3
49,raw_rsa_keygen,RSA-2048,133.4303340408951,1933.1,12.0,294,2026-04-12T13:09:33.142876+00:00,arm64-darwin,3
50,raw_rsa_keygen,RSA-2048,127.18483293429017,1933.1,12.0,294,2026-04-12T13:09:33.142878+00:00,arm64-darwin,3
51,raw_rsa_keygen,RSA-2048,168.482624925673,1933.1,12.0,294,2026-04-12T13:09:33.142880+00:00,arm64-darwin,3
52,raw_rsa_keygen,RSA-2048,90.04458296112716,1933.1,12.0,294,2026-04-12T13:09:33.142884+00:00,arm64-darwin,3
53,raw_rsa_keygen,RSA-2048,107.16754198074341,1933.1,12.0,294,2026-04-12T13:09:33.142888+00:00,arm64-darwin,3
54,raw_rsa_keygen,RSA-2048,155.6331249885261,1933.1,12.0,294,2026-04-12T13:09:33.142890+00:00,arm64-darwin,3
55,raw_rsa_keygen,RSA-2048,96.24187496956438,1933.1,12.0,294,2026-04-12T13:09:33.142892+00:00,arm64-darwin,3
56,raw_rsa_keygen,RSA-2048,63.438875018619,1933.1,12.0,294,2026-04-12T13:09:33.142894+00:00,arm64-darwin,3
57,raw_rsa_keygen,RSA-2048,78.56208295561373,1933.1,12.0,294,2026-04-12T13:09:33.142896+00:00,arm64-darwin,3
58,raw_rsa_keygen,RSA-2048,35.48808302730322,1933.1,12.0,294,2026-04-12T13:09:33.142898+00:00,arm64-darwin,3
59,raw_rsa_keygen,RSA-2048,113.68033301550895,1933.1,12.0,294,2026-04-12T13:09:33.142900+00:00,arm64-darwin,3
60,raw_rsa_keygen,RSA-2048,164.99074990861118,1933.1,12.0,294,2026-04-12T13:09:33.142902+00:00,arm64-darwin,3
61,raw_rsa_keygen,RSA-2048,46.86683299951255,1933.1,12.0,294,2026-04-12T13:09:33.142904+00:00,arm64-darwin,3
62,raw_rsa_keygen,RSA-2048,93.22620800230652,1933.1,12.0,294,2026-04-12T13:09:33.142905+00:00,arm64-darwin,3
63,raw_rsa_keygen,RSA-2048,219.77574995253235,1933.1,12.0,294,2026-04-12T13:09:33.142907+00:00,arm64-darwin,3
64,raw_rsa_keygen,RSA-2048,326.8338750349358,1933.1,12.0,294,2026-04-12T13:09:33.142909+00:00,arm64-darwin,3
65,raw_rsa_keygen,RSA-2048,197.2101250430569,1933.1,12.0,294,2026-04-12T13:09:33.142912+00:00,arm64-darwin,3
66,raw_rsa_keygen,RSA-2048,116.7222079820931,1933.1,12.0,294,2026-04-12T13:09:33.142914+00:00,arm64-darwin,3
67,raw_rsa_keygen,RSA-2048,46.05541692581028,1933.1,12.0,294,2026-04-12T13:09:33.142916+00:00,arm64-darwin,3
68,raw_rsa_keygen,RSA-2048,269.12054093554616,1933.1,12.0,294,2026-04-12T13:09:33.142918+00:00,arm64-darwin,3
69,raw_rsa_keygen,RSA-2048,49.54733292106539,1933.1,12.0,294,2026-04-12T13:09:33.142920+00:00,arm64-darwin,3
70,raw_rsa_keygen,RSA-2048,74.95916704647243,1933.1,12.0,294,2026-04-12T13:09:33.142922+00:00,arm64-darwin,3
71,raw_rsa_keygen,RSA-2048,61.281458009034395,1933.1,12.0,294,2026-04-12T13:09:33.142924+00:00,arm64-darwin,3
72,raw_rsa_keygen,RSA-2048,39.572500041686,1933.1,12.0,294,2026-04-12T13:09:33.142926+00:00,arm64-darwin,3
73,raw_rsa_keygen,RSA-2048,61.932874959893525,1933.1,12.0,294,2026-04-12T13:09:33.142928+00:00,arm64-darwin,3
74,raw_rsa_keygen,RSA-2048,189.3598330207169,1933.1,12.0,294,2026-04-12T13:09:33.142930+00:00,arm64-darwin,3
75,raw_rsa_keygen,RSA-2048,49.510124954394996,1933.1,12.0,294,2026-04-12T13:09:33.142932+00:00,arm64-darwin,3
76,raw_rsa_keygen,RSA-2048,39.75512506440282,1933.1,12.0,294,2026-04-12T13:09:33.142934+00:00,arm64-darwin,3
77,raw_rsa_keygen,RSA-2048,109.52662501949817,1933.1,12.0,294,2026-04-12T13:09:33.142937+00:00,arm64-darwin,3
78,raw_rsa_keygen,RSA-2048,97.01820800546557,1933.1,12.0,294,2026-04-12T13:09:33.142939+00:00,arm64-darwin,3
79,raw_rsa_keygen,RSA-2048,192.08283291663975,1933.1,12.0,294,2026-04-12T13:09:33.142942+00:00,arm64-darwin,3
80,raw_rsa_keygen,RSA-2048,132.87891692016274,1933.1,12.0,294,2026-04-12T13:09:33.142944+00:00,arm64-darwin,3
81,raw_rsa_keygen,RSA-2048,142.51404197420925,1933.1,12.0,294,2026-04-12T13:09:33.142946+00:00,arm64-darwin,3
82,raw_rsa_keygen,RSA-2048,87.06458297092468,1933.1,12.0,294,2026-04-12T13:09:33.142948+00:00,arm64-darwin,3
83,raw_rsa_keygen,RSA-2048,181.249332963489,1933.1,12.0,294,2026-04-12T13:09:33.142950+00:00,arm64-darwin,3
84,raw_rsa_keygen,RSA-2048,54.8851250205189,1933.1,12.0,294,2026-04-12T13:09:33.142952+00:00,arm64-darwin,3
85,raw_rsa_keygen,RSA-2048,84.67191690579057,1933.1,12.0,294,2026-04-12T13:09:33.142954+00:00,arm64-darwin,3
86,raw_rsa_keygen,RSA-2048,70.52066607866436,1933.1,12.0,294,2026-04-12T13:09:33.142955+00:00,arm64-darwin,3
87,raw_rsa_keygen,RSA-2048,238.1578329950571,1933.1,12.0,294,2026-04-12T13:09:33.142957+00:00,arm64-darwin,3
88,raw_rsa_keygen,RSA-2048,42.539792018942535,1933.1,12.0,294,2026-04-12T13:09:33.142959+00:00,arm64-darwin,3
89,raw_rsa_keygen,RSA-2048,131.64283405058086,1933.1,12.0,294,2026-04-12T13:09:33.142961+00:00,arm64-darwin,3
90,raw_rsa_keygen,RSA-2048,86.44912496674806,1933.1,12.0,294,2026-04-12T13:09:33.142963+00:00,arm64-darwin,3
91,raw_rsa_keygen,RSA-2048,93.03229197394103,1933.1,12.0,294,2026-04-12T13:09:33.142965+00:00,arm64-darwin,3
92,raw_rsa_keygen,RSA-2048,28.285957989282906,1933.1,12.0,294,2026-04-12T13:09:33.142966+00:00,arm64-darwin,3
93,raw_rsa_keygen,RSA-2048,40.012250072322786,1933.1,12.0,294,2026-04-12T13:09:33.142969+00:00,arm64-darwin,3
94,raw_rsa_keygen,RSA-2048,159.73491698969156,1933.1,12.0,294,2026-04-12T13:09:33.142971+00:00,arm64-darwin,3
95,raw_rsa_keygen,RSA-2048,112.95400001108646,1933.1,12.0,294,2026-04-12T13:09:33.142975+00:00,arm64-darwin,3
96,raw_rsa_keygen,RSA-2048,65.01970801036805,1933.1,12.0,294,2026-04-12T13:09:33.142977+00:00,arm64-darwin,3
97,raw_rsa_keygen,RSA-2048,37.771791918203235,1933.1,12.0,294,2026-04-12T13:09:33.142980+00:00,arm64-darwin,3
98,raw_rsa_keygen,RSA-2048,61.087041976861656,1933.1,12.0,294,2026-04-12T13:09:33.142982+00:00,arm64-darwin,3
99,raw_rsa_keygen,RSA-2048,93.39162509422749,1933.1,12.0,294,2026-04-12T13:09:33.142984+00:00,arm64-darwin,3
0,raw_rsa_sign,RSA-2048,99.93550006765872,742.0,52.0,256,2026-04-12T13:09:44.027158+00:00,arm64-darwin,3
1,raw_rsa_sign,RSA-2048,124.82454103883356,742.0,52.0,256,2026-04-12T13:09:44.027178+00:00,arm64-darwin,3
2,raw_rsa_sign,RSA-2048,143.00658297725022,742.0,52.0,256,2026-04-12T13:09:44.027182+00:00,arm64-darwin,3
3,raw_rsa_sign,RSA-2048,147.11637503933161,742.0,52.0,256,2026-04-12T13:09:44.027185+00:00,arm64-darwin,3
4,raw_rsa_sign,RSA-2048,105.32241594046354,742.0,52.0,256,2026-04-12T13:09:44.027187+00:00,arm64-darwin,3
5,raw_rsa_sign,RSA-2048,89.49262497480959,742.0,52.0,256,2026-04-12T13:09:44.027190+00:00,arm64-darwin,3
6,raw_rsa_sign,RSA-2048,88.92366697546095,742.0,52.0,256,2026-04-12T13:09:44.027192+00:00,arm64-darwin,3
7,raw_rsa_sign,RSA-2048,90.00662504695356,742.0,52.0,256,2026-04-12T13:09:44.027194+00:00,arm64-darwin,3
8,raw_rsa_sign,RSA-2048,88.69862498249859,742.0,52.0,256,2026-04-12T13:09:44.027196+00:00,arm64-darwin,3
9,raw_rsa_sign,RSA-2048,89.37525004148483,742.0,52.0,256,2026-04-12T13:09:44.027199+00:00,arm64-darwin,3
10,raw_rsa_sign,RSA-2048,89.24816700164229,742.0,52.0,256,2026-04-12T13:09:44.027200+00:00,arm64-darwin,3
11,raw_rsa_sign,RSA-2048,89.43141694180667,742.0,52.0,256,2026-04-12T13:09:44.027202+00:00,arm64-darwin,3
12,raw_rsa_sign,RSA-2048,88.35354098118842,742.0,52.0,256,2026-04-12T13:09:44.027204+00:00,arm64-darwin,3
13,raw_rsa_sign,RSA-2048,87.90074998978525,742.0,52.0,256,2026-04-12T13:09:44.027206+00:00,arm64-darwin,3
14,raw_rsa_sign,RSA-2048,87.7377080032602,742.0,52.0,256,2026-04-12T13:09:44.027208+00:00,arm64-darwin,3
15,raw_rsa_sign,RSA-2048,89.38658295664936,742.0,52.0,256,2026-04-12T13:09:44.027210+00:00,arm64-darwin,3
16,raw_rsa_sign,RSA-2048,87.8833340248093,742.0,52.0,256,2026-04-12T13:09:44.027212+00:00,arm64-darwin,3
17,raw_rsa_sign,RSA-2048,87.53637503832579,742.0,52.0,256,2026-04-12T13:09:44.027214+00:00,arm64-darwin,3
18,raw_rsa_sign,RSA-2048,88.38633296545595,742.0,52.0,256,2026-04-12T13:09:44.027216+00:00,arm64-darwin,3
19,raw_rsa_sign,RSA-2048,89.01679096743464,742.0,52.0,256,2026-04-12T13:09:44.027218+00:00,arm64-darwin,3
20,raw_rsa_sign,RSA-2048,88.38704193476588,742.0,52.0,256,2026-04-12T13:09:44.027220+00:00,arm64-darwin,3
21,raw_rsa_sign,RSA-2048,88.169916998595,742.0,52.0,256,2026-04-12T13:09:44.027222+00:00,arm64-darwin,3
22,raw_rsa_sign,RSA-2048,87.54424995277077,742.0,52.0,256,2026-04-12T13:09:44.027224+00:00,arm64-darwin,3
23,raw_rsa_sign,RSA-2048,88.02541706245393,742.0,52.0,256,2026-04-12T13:09:44.027226+00:00,arm64-darwin,3
24,raw_rsa_sign,RSA-2048,87.72162499371916,742.0,52.0,256,2026-04-12T13:09:44.027228+00:00,arm64-darwin,3
25,raw_rsa_sign,RSA-2048,87.80083293095231,742.0,52.0,256,2026-04-12T13:09:44.027230+00:00,arm64-darwin,3
26,raw_rsa_sign,RSA-2048,87.60958292987198,742.0,52.0,256,2026-04-12T13:09:44.027232+00:00,arm64-darwin,3
27,raw_rsa_sign,RSA-2048,87.9793749190867,742.0,52.0,256,2026-04-12T13:09:44.027234+00:00,arm64-darwin,3
28,raw_rsa_sign,RSA-2048,109.37070799991488,742.0,52.0,256,2026-04-12T13:09:44.027236+00:00,arm64-darwin,3
29,raw_rsa_sign,RSA-2048,88.3328749332577,742.0,52.0,256,2026-04-12T13:09:44.027238+00:00,arm64-darwin,3
30,raw_rsa_sign,RSA-2048,88.10833399184048,742.0,52.0,256,2026-04-12T13:09:44.027240+00:00,arm64-darwin,3
31,raw_rsa_sign,RSA-2048,88.11408397741616,742.0,52.0,256,2026-04-12T13:09:44.027241+00:00,arm64-darwin,3
32,raw_rsa_sign,RSA-2048,88.38229207322001,742.0,52.0,256,2026-04-12T13:09:44.027243+00:00,arm64-darwin,3
33,raw_rsa_sign,RSA-2048,89.00316699873656,742.0,52.0,256,2026-04-12T13:09:44.027245+00:00,arm64-darwin,3
34,raw_rsa_sign,RSA-2048,89.56587500870228,742.0,52.0,256,2026-04-12T13:09:44.027247+00:00,arm64-darwin,3
35,raw_rsa_sign,RSA-2048,89.05925008002669,742.0,52.0,256,2026-04-12T13:09:44.027250+00:00,arm64-darwin,3
36,raw_rsa_sign,RSA-2048,88.98541703820229,742.0,52.0,256,2026-04-12T13:09:44.027251+00:00,arm64-darwin,3
37,raw_rsa_sign,RSA-2048,88.53654202539474,742.0,52.0,256,2026-04-12T13:09:44.027253+00:00,arm64-darwin,3
38,raw_rsa_sign,RSA-2048,88.69162504561245,742.0,52.0,256,2026-04-12T13:09:44.027255+00:00,arm64-darwin,3
39,raw_rsa_sign,RSA-2048,88.55899993795902,742.0,52.0,256,2026-04-12T13:09:44.027257+00:00,arm64-darwin,3
40,raw_rsa_sign,RSA-2048,87.93695794884115,742.0,52.0,256,2026-04-12T13:09:44.027259+00:00,arm64-darwin,3
41,raw_rsa_sign,RSA-2048,88.51766597945243,742.0,52.0,256,2026-04-12T13:09:44.027261+00:00,arm64-darwin,3
42,raw_rsa_sign,RSA-2048,89.0065839048475,742.0,52.0,256,2026-04-12T13:09:44.027263+00:00,arm64-darwin,3
43,raw_rsa_sign,RSA-2048,88.22941710241139,742.0,52.0,256,2026-04-12T13:09:44.027265+00:00,arm64-darwin,3
44,raw_rsa_sign,RSA-2048,88.52237497922033,742.0,52.0,256,2026-04-12T13:09:44.027266+00:00,arm64-darwin,3
