operation,algorithm,environment,count,mean_ms,median_ms,stdev_ms,min_ms,max_ms,p95_ms,p99_ms,mean_tracemalloc_peak_bytes,median_tracemalloc_peak_bytes,mean_payload_size_bytes
hybrid_sign_classical,RS256,arm64-darwin,100,0.8272,0.7894,0.1743,0.7641,1.8252,0.8881,1.8043,12389.4,12389.4,451.0
hybrid_sign_pqc,ML-DSA-44,arm64-darwin,100,0.1128,0.0984,0.0426,0.0753,0.3342,0.1811,0.3245,12389.4,12389.4,3342.0
hybrid_verify_classical,RS256,arm64-darwin,100,0.0283,0.028,0.0016,0.0274,0.041,0.0301,0.034,14506.2,14506.2,451.0
hybrid_verify_pqc,ML-DSA-44,arm64-darwin,100,0.0233,0.0232,0.0006,0.023,0.027,0.0236,0.0266,14506.2,14506.2,3342.0
jwt_sign,RS256,arm64-darwin,100,0.8876,0.7891,0.419,0.7505,4.1058,1.1824,2.926,3414.8,3414.8,451.0
jwt_verify,RS256,arm64-darwin,100,0.0315,0.0292,0.0079,0.0276,0.0878,0.0458,0.0621,2840.2,2840.2,451.0
kem_decapsulate,Kyber512,arm64-darwin,100,0.0087,0.0086,0.0004,0.0083,0.011,0.0091,0.0106,8960.0,8960.0,
kem_encapsulate,Kyber512,arm64-darwin,100,0.0098,0.0097,0.0003,0.0095,0.0124,0.01,0.0103,8960.0,8960.0,
kem_keygen,Kyber512,arm64-darwin,100,0.0089,0.0087,0.001,0.0085,0.018,0.0092,0.0126,8960.0,8960.0,
pqc_sign,ML-DSA-44,arm64-darwin,100,0.1351,0.1003,0.2544,0.0605,2.6332,0.1842,0.2629,10621.6,10621.6,3342.0
pqc_verify,ML-DSA-44,arm64-darwin,100,0.0229,0.0227,0.0006,0.0225,0.0287,0.0232,0.0243,13497.0,13497.0,3342.0
raw_kyber_decapsulate,Kyber512,arm64-darwin,100,0.0083,0.0082,0.0003,0.008,0.0101,0.0085,0.0098,4384.0,4384.0,32.0
raw_kyber_encapsulate,Kyber512,arm64-darwin,100,0.0103,0.0097,0.0034,0.0094,0.043,0.0118,0.0136,4130.0,4130.0,768.0
raw_kyber_keygen,Kyber512,arm64-darwin,100,0.0099,0.0086,0.009,0.0082,0.098,0.0106,0.0191,5828.4,5828.4,800.0
raw_mldsa_keygen,ML-DSA-44,arm64-darwin,100,0.0248,0.0243,0.0015,0.0234,0.0347,0.0276,0.0307,8036.4,8036.4,1312.0
raw_mldsa_sign,ML-DSA-44,arm64-darwin,100,0.0578,0.0495,0.0304,0.0292,0.1882,0.1177,0.1541,9294.0,9294.0,2420.0
raw_mldsa_verify,ML-DSA-44,arm64-darwin,100,0.0222,0.022,0.001,0.0218,0.028,0.0235,0.0274,5953.0,5953.0,2420.0
raw_rsa_keygen,RSA-2048,arm64-darwin,100,57.2942,52.7539,32.8709,9.262,182.744,116.2845,154.6413,1933.4,1933.4,294.0
raw_rsa_sign,RSA-2048,arm64-darwin,100,50.1917,46.0424,12.6453,45.1284,116.1197,73.9324,112.3766,742.0,742.0,256.0
raw_rsa_verify,RSA-2048,arm64-darwin,100,0.0578,0.0574,0.0015,0.0567,0.0655,0.0608,0.0648,517.0,517.0,256.0
